,date,time,stock,style,volumns,price,total_b,sell_date,sell_time
0,2018-01-02,14:40:00,中远海特(600428.XSHG),买,17400股,5.75,100050,2018-02-01,10:23:00
1,2018-01-02,14:40:00,南玻A(000012.XSHE),买,11500股,8.65,99475,2018-01-31,14:14:00
2,2018-01-02,14:40:00,招商证券(600999.XSHG),买,5600股,17.61,98616,2018-01-16,09:48:00
3,2018-01-02,14:40:00,国信证券(002736.XSHE),买,9100股,10.92,99372,2018-01-30,10:58:00
4,2018-01-03,14:40:00,国电南瑞(600406.XSHG),买,5300股,18.61,98633,2018-01-12,11:23:00
5,2018-01-03,14:40:00,东阳光科(600673.XSHG),买,14800股,6.75,99900,2018-01-31,13:12:00
6,2018-01-03,14:40:00,莱宝高科(002106.XSHE),买,9600股,10.35,99360,2018-01-10,11:24:00
7,2018-01-03,14:40:00,陆家嘴(600663.XSHG),买,5100股,19.43,99093,2018-01-09,14:18:00
8,2018-01-03,14:40:00,天坛生物(600161.XSHG),买,3300股,30.15,99495,2018-01-17,09:49:00
9,2018-01-04,14:40:00,美亚光电(002690.XSHE),买,5100股,19.34,98634,2018-01-08,13:30:00
10,2018-01-04,14:40:00,置信电气(600517.XSHG),买,15200股,6.58,100016,2018-01-10,13:34:00
11,2018-01-04,14:40:00,东方通信(600776.XSHG),买,13500股,7.38,99630,2018-01-15,13:42:00
12,2018-01-04,14:40:00,天士力(600535.XSHG),买,2700股,36.12,97524,2018-02-01,10:43:00
13,2018-01-05,14:40:00,口子窖(603589.XSHG),买,2200股,45.31,99682,2018-01-19,13:18:00
14,2018-01-05,14:40:00,紫鑫药业(002118.XSHE),买,12700股,7.88,100076,2018-01-12,14:54:00
15,2018-01-05,14:40:00,中兴通讯(000063.XSHE),买,2700股,36.02,97254,2018-01-17,10:25:00
16,2018-01-05,14:40:00,卫士通(002268.XSHE),买,4200股,23.53,98826,2018-01-15,14:23:00
17,2018-01-08,13:30:00,美亚光电(002690.XSHE),卖,-5100股,18.33,(93483),,
18,2018-01-08,14:40:00,中央商场(600280.XSHG),买,12200股,8.18,99796,2018-01-15,14:45:00
19,2018-01-08,14:40:00,国投资本(600061.XSHG),买,7400股,13.53,100122,2018-01-31,09:57:00
20,2018-01-08,14:40:00,天夏智慧(000662.XSHE),买,6700股,14.86,99562,2018-01-31,13:57:00
21,2018-01-08,14:40:00,安通控股(600179.XSHG),买,3800股,26.10,99180,2018-01-16,13:50:00
22,2018-01-09,14:18:00,陆家嘴(600663.XSHG),卖,-5100股,20.23,(103173),,
23,2018-01-09,14:40:00,南京新百(600682.XSHG),买,2600股,37.71,98046,2018-02-01,10:05:00
24,2018-01-09,14:40:00,兴源环境(300266.XSHE),买,3800股,26.28,99864,2018-01-16,14:33:00
25,2018-01-09,14:40:00,长江电力(600900.XSHG),买,6100股,16.22,98942,2018-02-09,10:47:00
26,2018-01-09,14:40:00,红日药业(300026.XSHE),买,23100股,4.33,100023,2018-01-31,09:30:00
27,2018-01-10,11:24:00,莱宝高科(002106.XSHE),卖,-9600股,9.82,(94272),,
28,2018-01-10,13:34:00,置信电气(600517.XSHG),卖,-15200股,6.25,(95000),,
29,2018-01-10,14:40:00,中航机电(002013.XSHE),买,9200股,10.78,99176,2018-01-15,14:34:00
30,2018-01-10,14:40:00,首航节能(002665.XSHE),买,15400股,6.48,99792,2018-01-16,13:07:00
31,2018-01-10,14:40:00,启迪桑德(000826.XSHE),买,3000股,33.20,99600,2018-01-15,14:44:00
32,2018-01-11,14:40:00,九鼎投资(600053.XSHG),买,4100股,24.16,99056,2018-01-29,13:41:00
33,2018-01-11,14:40:00,光迅科技(002281.XSHE),买,3100股,31.94,99014,2018-01-15,09:38:00
34,2018-01-11,14:40:00,中天科技(600522.XSHG),买,7000股,14.15,99050,2018-01-15,09:38:00
35,2018-01-12,11:23:00,国电南瑞(600406.XSHG),卖,-5300股,17.58,(93174),,
36,2018-01-12,14:40:00,三七互娱(002555.XSHE),买,5000股,19.93,99650,2018-01-15,10:58:00
37,2018-01-12,14:40:00,中国平安(601318.XSHG),买,1300股,74.01,96213,2018-01-29,11:17:00
38,2018-01-12,14:40:00,太平鸟(603877.XSHG),买,3900股,25.58,99762,2018-02-02,09:33:00
39,2018-01-12,14:40:00,安琪酵母(600298.XSHG),买,2900股,33.60,97440,2018-01-22,09:40:00
40,2018-01-12,14:54:00,紫鑫药业(002118.XSHE),卖,-12700股,7.50,(95250),,
41,2018-01-15,09:38:00,光迅科技(002281.XSHE),卖,-3100股,30.22,(93682),,
42,2018-01-15,09:38:00,中天科技(600522.XSHG),卖,-7000股,13.40,(93800),,
43,2018-01-15,10:58:00,三七互娱(002555.XSHE),卖,-5000股,18.89,(94450),,
44,2018-01-15,13:42:00,东方通信(600776.XSHG),卖,-13500股,7.34,(99090),,
45,2018-01-15,14:23:00,卫士通(002268.XSHE),卖,-4200股,23.08,(96936),,
46,2018-01-15,14:34:00,中航机电(002013.XSHE),卖,-9200股,10.24,(94208),,
47,2018-01-15,14:40:00,石基信息(002153.XSHE),买,3800股,25.89,98382,2018-01-17,09:47:00
48,2018-01-15,14:40:00,安洁科技(002635.XSHE),买,4400股,22.72,99968,2018-01-16,14:45:00
49,2018-01-15,14:40:00,三七互娱(002555.XSHE),买,5300股,18.80,99640,2018-01-16,10:17:00
50,2018-01-15,14:44:00,启迪桑德(000826.XSHE),卖,-3000股,31.54,(94620),,
51,2018-01-15,14:45:00,中央商场(600280.XSHG),卖,-12200股,7.81,(95282),,
52,2018-01-16,09:48:00,招商证券(600999.XSHG),卖,-5600股,17.59,(98504),,
53,2018-01-16,10:17:00,三七互娱(002555.XSHE),卖,-5300股,17.97,(95241),,
54,2018-01-16,13:07:00,首航节能(002665.XSHE),卖,-15400股,6.37,(98098),,
55,2018-01-16,13:50:00,安通控股(600179.XSHG),卖,-3800股,26.97,(102486),,
56,2018-01-16,14:33:00,兴源环境(300266.XSHE),卖,-3800股,24.92,(94696),,
57,2018-01-16,14:40:00,复星医药(600196.XSHG),买,2100股,45.77,96117,2018-01-18,13:39:00
58,2018-01-16,14:40:00,新华保险(601336.XSHG),买,1500股,66.67,100005,2018-01-19,09:33:00
59,2018-01-16,14:40:00,王府井(600859.XSHG),买,4400股,22.63,99572,2018-01-29,10:08:00
60,2018-01-16,14:40:00,苏泊尔(002032.XSHE),买,2300股,42.36,97428,2018-01-29,11:19:00
61,2018-01-16,14:45:00,安洁科技(002635.XSHE),卖,-4400股,21.55,(94820),,
62,2018-01-17,09:47:00,石基信息(002153.XSHE),卖,-3800股,24.43,(92834),,
63,2018-01-17,09:49:00,天坛生物(600161.XSHG),卖,-3300股,28.58,(94314),,
64,2018-01-17,10:25:00,中兴通讯(000063.XSHE),卖,-2700股,36.61,(98847),,
65,2018-01-17,14:40:00,分众传媒(002027.XSHE),买,7200股,13.76,99072,2018-01-19,13:36:00
66,2018-01-17,14:40:00,莱宝高科(002106.XSHE),买,9600股,10.34,99264,2018-01-31,09:57:00
67,2018-01-17,14:40:00,刚泰控股(600687.XSHG),买,8500股,11.69,99365,2018-01-30,09:31:00
68,2018-01-18,13:39:00,复星医药(600196.XSHG),卖,-2100股,43.75,(91875),,
69,2018-01-18,14:40:00,海正药业(600267.XSHG),买,6300股,15.76,99288,2018-01-23,10:38:00
70,2018-01-18,14:40:00,新湖中宝(600208.XSHG),买,18900股,5.28,99792,2018-02-01,10:58:00
71,2018-01-18,14:40:00,光明乳业(600597.XSHG),买,6300股,15.71,98973,2018-01-25,14:57:00
72,2018-01-19,09:33:00,新华保险(601336.XSHG),卖,-1500股,62.92,(94380),,
73,2018-01-19,13:18:00,口子窖(603589.XSHG),卖,-2200股,49.17,(108174),,
74,2018-01-19,13:36:00,分众传媒(002027.XSHE),卖,-7200股,13.03,(93816),,
75,2018-01-19,14:40:00,游族网络(002174.XSHE),买,4300股,22.79,97997,2018-02-01,10:03:00
76,2018-01-19,14:40:00,奥瑞金(002701.XSHE),买,16500股,6.07,100155,2018-02-01,10:04:00
77,2018-01-19,14:40:00,完美世界(002624.XSHE),买,3200股,31.07,99424,2018-01-29,09:55:00
78,2018-01-19,14:40:00,上海家化(600315.XSHG),买,2800股,34.57,96796,2018-02-01,10:40:00
79,2018-01-22,09:40:00,安琪酵母(600298.XSHG),卖,-2900股,34.57,(100253),,
80,2018-01-22,14:40:00,中国动力(600482.XSHG),买,4100股,24.07,98687,2018-02-02,09:39:00
81,2018-01-22,14:40:00,中国电影(600977.XSHG),买,6100股,16.17,98637,2018-02-01,13:11:00
82,2018-01-22,14:40:00,国电南瑞(600406.XSHG),买,5600股,17.58,98448,2018-01-31,09:33:00
83,2018-01-22,14:40:00,汇川技术(300124.XSHE),买,3700股,27.02,99974,2018-02-01,14:32:00
84,2018-01-22,14:40:00,锦龙股份(000712.XSHE),买,5900股,16.72,98648,2018-01-31,13:33:00
85,2018-01-23,10:38:00,海正药业(600267.XSHG),卖,-6300股,14.95,(94185),,
86,2018-01-23,14:40:00,航天电子(600879.XSHG),买,13100股,7.64,100084,2018-01-31,10:32:00
87,2018-01-23,14:40:00,南山铝业(600219.XSHG),买,27300股,3.66,99918,2018-02-01,11:20:00
88,2018-01-23,14:40:00,启迪桑德(000826.XSHE),买,3100股,32.01,99231,2018-01-31,13:53:00
89,2018-01-23,14:40:00,水晶光电(002273.XSHE),买,4700股,21.08,99076,2018-01-29,10:09:00
90,2018-01-24,14:40:00,西藏珠峰(600338.XSHG),买,2500股,38.95,97375,2018-01-26,14:21:00
91,2018-01-24,14:40:00,思源电气(002028.XSHE),买,6700股,14.86,99562,2018-03-15,09:47:00
92,2018-01-24,14:40:00,和佳股份(300273.XSHE),买,11100股,9.00,99900,2018-01-31,10:25:00
93,2018-01-24,14:40:00,安图生物(603658.XSHG),买,2000股,48.84,97680,2018-01-29,09:37:00
94,2018-01-24,14:40:00,视源股份(002841.XSHE),买,1400股,69.56,97384,2018-02-01,09:30:00
95,2018-01-25,14:40:00,清新环境(002573.XSHE),买,4800股,20.79,99792,2018-02-02,09:30:00
96,2018-01-25,14:40:00,时代新材(600458.XSHG),买,10200股,9.74,99348,2018-01-31,09:31:00
97,2018-01-25,14:40:00,人福医药(600079.XSHG),买,5500股,18.03,99165,2018-01-30,10:06:00
98,2018-01-25,14:40:00,东江环保(002672.XSHE),买,6200股,15.93,98766,2018-02-01,09:30:00
99,2018-01-25,14:40:00,北新建材(000786.XSHE),买,3900股,25.04,97656,2018-01-31,09:31:00
100,2018-01-25,14:57:00,光明乳业(600597.XSHG),卖,-6300股,14.98,(94374),,
101,2018-01-26,14:21:00,西藏珠峰(600338.XSHG),卖,-2500股,36.95,(92375),,
102,2018-01-26,14:40:00,达安基因(002030.XSHE),买,5600股,17.69,99064,2018-01-31,09:54:00
103,2018-01-26,14:40:00,沪电股份(002463.XSHE),买,20900股,4.79,100111,2018-01-31,09:54:00
104,2018-01-26,14:40:00,塔牌集团(002233.XSHE),买,8100股,12.25,99225,2018-01-31,09:54:00
