starttime,T,status,result,starttime,endtime,acount,profit,money,openline,closeline1,closeline2,closeline3
2020-01-02 01:15:00,0.64,-1,3,2020-01-02 01:15:00,2020-01-02 03:30:00,6.999999999997009,12,-92.0,1.1221,1.1214000000000004,0.0,0.0
2020-01-02 12:45:00,0.65,-1,2,2020-01-02 12:45:00,2020-01-02 14:15:00,11.999999999998678,12,-62.0,1.1192,1.118,0.0,0.0
2020-01-02 15:45:00,0.73,-1,-1,2020-01-02 15:45:00,2020-01-02 15:45:00,9.999999999998899,-12,-72.0,1.1179,1.1188999999999998,0.0,0.0
2020-01-03 12:45:00,0.66,-1,1,2020-01-03 12:45:00,2020-01-03 12:45:00,3.00000000000189,12,-202.0,1.1138,1.1135,0.0,0.0
2020-01-06 17:15:00,0.77,-1,-1,2020-01-06 17:15:00,2020-01-06 21:45:00,6.999999999999229,-12,-92.0,1.1191,1.1198,0.0,0.0
2020-01-06 23:15:00,0.86,-1,3,2020-01-06 23:15:00,2020-01-07 05:45:00,10.999999999998789,12,-62.0,1.1195,1.1184,0.0,0.0
2020-01-07 11:30:00,0.88,-1,3,2020-01-07 11:30:00,2020-01-07 13:45:00,17.000000000000348,12,-42.0,1.1177,1.1159999999999999,0.0,0.0
2020-01-08 14:00:00,0.64,-1,2,2020-01-08 14:00:00,2020-01-08 19:15:00,12.999999999998568,12,-52.0,1.112,1.1107000000000002,0.0,0.0
2020-01-08 17:15:00,0.66,-1,2,2020-01-08 17:15:00,2020-01-08 17:30:00,7.999999999999119,12,-82.0,1.1121,1.1113000000000002,0.0,0.0
2020-01-09 16:45:00,0.61,-1,1,2020-01-09 16:45:00,2020-01-10 11:00:00,13.999999999998458,12,-52.0,1.1101,1.1087000000000002,0.0,0.0
2020-01-10 03:00:00,0.68,-1,2,2020-01-10 03:00:00,2020-01-10 08:30:00,7.999999999999119,12,-82.0,1.1106,1.1098,0.0,0.0
2020-01-10 21:15:00,0.74,-1,-1,2020-01-10 21:15:00,2020-01-13 09:00:00,10.999999999998789,-12,-62.0,1.112,1.1131,0.0,0.0
2020-01-14 18:45:00,0.6,-1,1,2020-01-14 18:45:00,2020-01-15 08:00:00,10.000000000001119,12,-62.0,1.1131,1.1121,0.0,0.0
